title,type,language,region,release_year,primary_genre,genre_blend,theme,tone,pacing,content_era,imdb_rating,rating,duration,country,description,sentiment_polarity,sentiment_subjectivity,sentiment_label
"Game Over, Man!",Movie,English,Global,2018,Action & Adventure,Yes,Family,Uplifting,Slow,Pre-2020,7.6,TV-MA,102 min,United States,"Game Over, Man! is a Action & Adventure story exploring Family in a Uplifting setting.",-0.2,0.25,Neutral
Arsenio Hall: Smart & Classy,Movie,English,Global,2019,Stand-Up Comedy,No,Empowerment,Philosophical,Fast,Pre-2020,7.8,TV-MA,63 min,United States,Arsenio Hall: Smart & Classy is a Stand-Up Comedy story exploring Empowerment in a Philosophical setting.,0.1047619047619047,0.5142857142857143,Neutral
Kazoops!,TV Show,English,Global,2017,Kids' TV,No,Queerness,Gritty,Slow,Pre-2020,8.9,TV-Y,3 Seasons,Australia,Kazoops! is a Kids' TV story exploring Queerness in a Gritty setting.,0.0,0.75,Neutral
We Are the Champions,TV Show,English,Global,2020,Docuseries,Yes,Queerness,Philosophical,Slow,2020-22,7.8,TV-MA,1 Season,United States,We Are the Champions is a Docuseries story exploring Queerness in a Philosophical setting.,0.0,0.0,Neutral
"Pablo Escobar, el patrón del mal",TV Show,English,Global,2012,Crime TV Shows,Yes,Coming of Age,Philosophical,Medium,Pre-2020,6.8,TV-MA,1 Season,Colombia,"Pablo Escobar, el patrón del mal is a Crime TV Shows story exploring Coming of Age in a Philosophical setting.",0.0,0.0,Neutral
Saint Seiya: The Lost Canvas,TV Show,English,Global,2009,Anime Series,Yes,Coming of Age,Inspiring,Fast,Pre-2020,6.9,TV-MA,1 Season,Japan,Saint Seiya: The Lost Canvas is a Anime Series story exploring Coming of Age in a Inspiring setting.,0.5,1.0,Positive
Fauda,TV Show,English,Global,2020,Crime TV Shows,Yes,Coming of Age,Gritty,Medium,2020-22,6.5,TV-MA,3 Seasons,Israel,Fauda is a Crime TV Shows story exploring Coming of Age in a Gritty setting.,0.0,0.75,Neutral
The Cook of Castamar,TV Show,English,Global,2021,International TV Shows,Yes,Family,Gritty,Medium,2020-22,6.0,TV-MA,1 Season,,The Cook of Castamar is a International TV Shows story exploring Family in a Gritty setting.,0.0,0.375,Neutral
The App That Stole Christmas,Movie,English,Global,2020,Children & Family Movies,Yes,Queerness,Gritty,Medium,2020-22,7.3,TV-PG,64 min,United States,The App That Stole Christmas is a Children & Family Movies story exploring Queerness in a Gritty setting.,0.0,0.75,Neutral
Mute,Movie,English,Global,2018,Sci-Fi & Fantasy,Yes,Queerness,Philosophical,Medium,Pre-2020,7.2,TV-MA,127 min,"United Kingdom, Germany",Mute is a Sci-Fi & Fantasy story exploring Queerness in a Philosophical setting.,0.0,0.0,Neutral
"Drugs, Inc.",TV Show,English,Global,2015,Crime TV Shows,Yes,Revenge,Uplifting,Medium,Pre-2020,6.9,TV-MA,1 Season,United States,"Drugs, Inc. is a Crime TV Shows story exploring Revenge in a Uplifting setting.",0.0,0.0,Neutral
Den of Thieves,Movie,English,Global,2018,Action & Adventure,No,Family,Gritty,Medium,Pre-2020,6.0,R,140 min,United States,Den of Thieves is a Action & Adventure story exploring Family in a Gritty setting.,0.05,0.425,Neutral
The President's Barber,Movie,English,Global,2004,Comedies,Yes,Social Justice,Satirical,Medium,Pre-2020,6.6,TV-MA,116 min,South Korea,The President's Barber is a Comedies story exploring Social Justice in a Satirical setting.,0.0333333333333333,0.0666666666666666,Neutral
The Dirt,Movie,English,Global,2019,Comedies,Yes,Family,Philosophical,Fast,Pre-2020,8.1,TV-MA,108 min,United States,The Dirt is a Comedies story exploring Family in a Philosophical setting.,0.0,0.0,Neutral
Brews Brothers,TV Show,English,Global,2020,TV Comedies,No,Social Justice,Inspiring,Slow,2020-22,8.4,TV-MA,1 Season,United States,Brews Brothers is a TV Comedies story exploring Social Justice in a Inspiring setting.,0.2666666666666666,0.5333333333333333,Positive
Rodney Carrington: Here Comes the Truth,Movie,English,Global,2017,Stand-Up Comedy,No,Revenge,Uplifting,Medium,Pre-2020,7.8,TV-MA,66 min,United States,Rodney Carrington: Here Comes the Truth is a Stand-Up Comedy story exploring Revenge in a Uplifting setting.,0.0,0.0,Neutral
Planet Hulk,Movie,English,Global,2010,Action & Adventure,Yes,Empowerment,Satirical,Medium,Pre-2020,8.8,TV-14,81 min,United States,Planet Hulk is a Action & Adventure story exploring Empowerment in a Satirical setting.,0.1,0.1,Neutral
Tree Man,Movie,English,Global,2015,Documentaries,No,Queerness,Satirical,Medium,Pre-2020,8.0,TV-PG,82 min,Canada,Tree Man is a Documentaries story exploring Queerness in a Satirical setting.,0.0,0.0,Neutral
Ladies First,Movie,Hindi,India,2018,Documentaries,Yes,Revenge,Inspiring,Medium,Pre-2020,8.7,TV-G,40 min,India,Ladies First is a Documentaries story exploring Revenge in a Inspiring setting.,0.375,0.6666666666666666,Positive
King Jack,Movie,English,Global,2015,Dramas,Yes,Queerness,Uplifting,Medium,Pre-2020,8.6,NR,81 min,United States,King Jack is a Dramas story exploring Queerness in a Uplifting setting.,0.0,0.0,Neutral
"I love you, stupid",Movie,English,Global,2019,Comedies,Yes,Coming of Age,Philosophical,Medium,Pre-2020,7.3,TV-MA,88 min,Spain,"I love you, stupid is a Comedies story exploring Coming of Age in a Philosophical setting.",-0.0999999999999999,0.5333333333333333,Neutral
A Family Man,Movie,English,Global,2016,Dramas,No,Empowerment,Dark,Slow,Pre-2020,6.3,R,110 min,"Canada, United States",A Family Man is a Dramas story exploring Empowerment in a Dark setting.,-0.15,0.4,Neutral
